,count_full,count_empty
2015-04-19 07:00:00,15.0,5.0
2015-04-19 08:00:00,11.0,2.0
2015-04-19 09:00:00,11.0,8.0
2015-04-19 10:00:00,14.0,36.0
2015-04-19 11:00:00,29.0,55.0
2015-04-19 12:00:00,22.0,93.0
2015-04-19 13:00:00,32.0,114.0
2015-04-19 14:00:00,42.0,106.0
2015-04-19 15:00:00,37.0,85.0
2015-04-19 16:00:00,49.0,83.0
2015-04-19 17:00:00,51.0,64.0
2015-04-19 18:00:00,42.0,37.0
2015-04-19 19:00:00,23.0,9.0
2015-04-19 20:00:00,10.0,4.0
2015-04-19 21:00:00,6.0,2.0
2015-04-19 22:00:00,2.0,0.0
2015-04-19 23:00:00,1.0,0.0
