,uid,date,name,classification,class_primary,class_secondary,group,category,class_code,description,level,level_2,level_3,level_4,level_5,size
28,D0724838,20150324,Handbag,A45C 1/024,A45C,1/024,A,45,A45C,PURSES,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,PURSES,1
29,D0724839,20150324,,A45C 1/024,A45C,1/024,A,45,A45C,PURSES,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,PURSES,1
30,D0724841,20150324,Card holder,A45C 1/06,A45C,6-Jan,A,45,A45C,PURSES,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,PURSES,1
31,8985543,20150324,Mobile device case with a spring loaded stand,A45C 2011/022,A45C,2011/022,A,45,A45C,PURSES,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,PURSES,1
32,8985633,20150324,,A45C 11/18,A45C,18-Nov,A,45,A45C,PURSES,5,HUMAN NECESSITIES,Personal or domestic articles,HAND OR TRAVELLING ARTICLES,PURSES,1
33,D0724840,20150324,Wallet,G09F 1/04,G09F,4-Jan,G,9,G09F,DISPLAYING,5,PHYSICS,Instruments,EDUCATION,DISPLAYING,1
34,D0725194,20150324,Electronic shelf labeling device,G09F 3/16,G09F,16-Mar,G,9,G09F,DISPLAYING,5,PHYSICS,Instruments,EDUCATION,DISPLAYING,1
35,D0725195,20150324,Label,G09F 3/10,G09F,10-Mar,G,9,G09F,DISPLAYING,5,PHYSICS,Instruments,EDUCATION,DISPLAYING,1
36,8984783,20150324,Method and kit for modifying a corrugated sign assembly,G09F 7/18,G09F,18-Jul,G,9,G09F,DISPLAYING,5,PHYSICS,Instruments,EDUCATION,DISPLAYING,1
37,8986803,20150324,Label formation base material pair and tack labeler,G09F 3/10,G09F,10-Mar,G,9,G09F,DISPLAYING,5,PHYSICS,Instruments,EDUCATION,DISPLAYING,1
38,D0724842,20150324,Utility box,B65D 21/04,B65D,21/04,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
39,D0724897,20150324,Cup,B65D 25/36,B65D,25/36,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
40,D0724902,20150324,,B65D 81/3876,B65D,81/3876,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
41,D0724903,20150324,Rectangular food container,B65D 25/04,B65D,25/04,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
42,D0724941,20150324,Packaging,B65D 5/00,B65D,May-00,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
43,D0724942,20150324,Packaging,B65D 5/00,B65D,May-00,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
44,D0724943,20150324,Fitment,B65D 77/065,B65D,77/065,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
45,D0724944,20150324,Cap for a fitment,B65D 77/065,B65D,77/065,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
46,D0724947,20150324,Bottle,B65D 1/00,B65D,Jan-00,B,65,B65D,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",5,PERFORMING OPERATIONS; TRANSPORTING,Transporting,CONVEYING,"CONTAINERS FOR STORAGE OR TRANSPORT OF ARTICLES OR MATERIALS, e.g. BAGS, BARRELS, BOTTLES, BOXES, CANS, CARTONS, CRATES, DRUMS, JARS, TANKS, HOPPERS, FORWARDING CONTAINERS",1
